,Time,Hips.X,Hips.Y,Hips.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightArm.X,RightArm.Y,RightArm.Z,RightForeArm.X,RightForeArm.Y,RightForeArm.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftArm.X,LeftArm.Y,LeftArm.Z,LeftForeArm.X,LeftForeArm.Y,LeftForeArm.Z,Neck.X,Neck.Y,Neck.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,Head.X,Head.Y,Head.Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133328,0.014755013,0.571848403,0.026673867,0.027497633,0.884521916,0.056106013,-0.080029865,0.896738673,0.011334941,-0.132068289,0.713792112,-0.006220673,0.027497633,0.884521916,0.056106013,0.143234273,0.891379294,0.039557067,0.198104255,0.708509718,0.033756681,0.027497633,0.884521916,0.056106013,-0.048565735,0.574500999,0.020296794,-0.060427377,0.301000282,0.034342941,-0.061283523,0.035363161,-0.00872127,0.078075762,0.569195806,0.03305094,0.110706681,0.297172516,0.041949689,0.145602321,0.035089994,-0.008183985,0.035900252,0.999150915,0.092472151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141661,0.014397221,0.57175241,0.026436502,0.027057381,0.884304121,0.057183761,-0.08064583,0.896869233,0.012934498,-0.13536019,0.714771824,-0.005300463,0.027057381,0.884304121,0.057183761,0.14274697,0.89121769,0.04033198,0.200358598,0.709185861,0.034768268,0.027057381,0.884304121,0.057183761,-0.048951432,0.574360946,0.020323871,-0.06057078,0.300900002,0.03531514,-0.061183421,0.035409016,-0.008645072,0.077745874,0.569143874,0.032549133,0.110460978,0.297161024,0.042331064,0.145489407,0.0351769,-0.008222548,0.035579044,0.998754363,0.094081332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.149994,0.014034193,0.571614529,0.026097908,0.026585128,0.884041722,0.058247269,-0.081286725,0.896960706,0.01451371,-0.138652659,0.715736708,-0.00426536,0.026585128,0.884041722,0.058247269,0.142226838,0.891042191,0.041105236,0.202400119,0.709829712,0.035923063,0.026585128,0.884041722,0.058247269,-0.049342329,0.574158329,0.020252734,-0.060712597,0.300751848,0.036384936,-0.061029657,0.03543486,-0.008616566,0.077410714,0.569070728,0.031943083,0.11018473,0.297138561,0.042869888,0.145381216,0.035286369,-0.008247395,0.035269264,0.998271203,0.095785502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158327,0.013664183,0.571426033,0.025893705,0.026145308,0.883691331,0.059376854,-0.081901575,0.897042369,0.016208789,-0.141964232,0.716766387,-0.003251139,0.026145308,0.883691331,0.059376854,0.141749593,0.890871833,0.042057766,0.2042898,0.710454868,0.037150373,0.026145308,0.883691331,0.059376854,-0.049743208,0.573904509,0.020363743,-0.060833552,0.300549038,0.037522588,-0.060868975,0.035423904,-0.008596835,0.077071573,0.568947558,0.031423667,0.109835801,0.297069708,0.04365376,0.145243019,0.035410482,-0.008299276,0.03491934,0.997710106,0.097529743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.16666,0.013376203,0.571216594,0.025511478,0.025665127,0.883319924,0.060607079,-0.082538768,0.897102591,0.017971223,-0.145230826,0.717772973,-0.001934434,0.025665127,0.883319924,0.060607079,0.141245531,0.890634768,0.043185135,0.206092389,0.711028643,0.038477023,0.025665127,0.883319924,0.060607079,-0.050053077,0.573606347,0.020197722,-0.060928767,0.300343222,0.038895821,-0.060752379,0.035463382,-0.00861185,0.076805484,0.56882684,0.030825233,0.109411386,0.297009046,0.044702446,0.145058387,0.035599173,-0.008330646,0.03455059,0.997154317,0.099281191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.174993,0.013028883,0.570916397,0.025001842,0.025218856,0.8828072,0.061942373,-0.083144814,0.897036569,0.019862674,-0.148494243,0.718737769,-0.000743911,0.025218856,0.8828072,0.061942373,0.140731744,0.890406603,0.044197435,0.207626287,0.711541413,0.039954204,0.025218856,0.8828072,0.061942373,-0.050426443,0.573203686,0.019960971,-0.061077354,0.300056193,0.040397218,-0.060608043,0.035444677,-0.008580991,0.076484209,0.568629108,0.030042712,0.10900284,0.296907171,0.045865559,0.144952509,0.035754756,-0.008221196,0.034235074,0.996426059,0.101215396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183326,0.012580333,0.570565586,0.024883159,0.024730106,0.882196126,0.063150428,-0.083842117,0.896978368,0.02180531,-0.151713525,0.71969264,0.000618435,0.024730106,0.882196126,0.063150428,0.140229401,0.890099641,0.045449908,0.209093258,0.711976179,0.041520194,0.024730106,0.882196126,0.063150428,-0.05088535,0.57281545,0.019957137,-0.061256631,0.299790961,0.042108883,-0.06049603,0.035490186,-0.00851583,0.076046016,0.568315722,0.029809182,0.108579777,0.296692008,0.047208831,0.144889399,0.035849191,-0.008117251,0.033909923,0.995464174,0.103387076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191659,0.012355186,0.570087366,0.02412045,0.0242496,0.88153017,0.064655082,-0.084463476,0.896735416,0.023836845,-0.154932109,0.720555598,0.001916885,0.0242496,0.88153017,0.064655082,0.139680214,0.889558999,0.046567175,0.210533236,0.71220685,0.043145786,0.0242496,0.88153017,0.064655082,-0.051147401,0.572183755,0.019620764,-0.061450234,0.299349636,0.044034486,-0.060359074,0.035405372,-0.008411436,0.075857772,0.567990976,0.028620137,0.108129991,0.296526723,0.048776976,0.14470654,0.036028869,-0.00798008,0.033652582,0.994620634,0.105337245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.199992,0.012016592,0.569474755,0.023321089,0.023788792,0.880606787,0.066077097,-0.085112613,0.896366016,0.025977327,-0.158112264,0.721306231,0.003377243,0.023788792,0.880606787,0.066077097,0.139171154,0.889054168,0.047872334,0.211757304,0.712396525,0.044877505,0.023788792,0.880606787,0.066077097,-0.051499731,0.571464428,0.018969253,-0.061795137,0.298917386,0.04640554,-0.060378887,0.035449986,-0.008378242,0.075532914,0.567485082,0.027672926,0.107675252,0.296211611,0.050437123,0.144629083,0.036132482,-0.007971788,0.033203103,0.993454282,0.107425871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208325,0.011499974,0.56878535,0.023343779,0.023266947,0.879599674,0.067429288,-0.08585787,0.895884674,0.028155453,-0.161298489,0.721953786,0.004865958,0.023266947,0.879599674,0.067429288,0.138643291,0.888297892,0.049304679,0.213021684,0.712382692,0.046595738,0.023266947,0.879599674,0.067429288,-0.052026954,0.570739262,0.019132833,-0.062237588,0.298431976,0.048883797,-0.060350063,0.03548297,-0.008322817,0.075026903,0.566831437,0.027554724,0.107290364,0.295734793,0.052178154,0.144559187,0.036102097,-0.007990259,0.032978912,0.992038946,0.109808475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
